Date,Total
1985-01-01 00:00:00.000000,274147
1985-02-01 00:00:00.000000,229487
1985-03-01 00:00:00.000000,266581
1985-04-01 00:00:00.000000,242438
1985-05-01 00:00:00.000000,256786
1985-06-01 00:00:00.000000,226465
1985-07-01 00:00:00.000000,220181
1985-08-01 00:00:00.000000,262904
1985-09-01 00:00:00.000000,251877
1985-10-01 00:00:00.000000,256396
1985-11-01 00:00:00.000000,271329
1985-12-01 00:00:00.000000,297960
1986-01-01 00:00:00.000000,301598
1986-02-01 00:00:00.000000,246362
1986-03-01 00:00:00.000000,286732
1986-04-01 00:00:00.000000,273669
1986-05-01 00:00:00.000000,269113
1986-06-01 00:00:00.000000,235077
1986-07-01 00:00:00.000000,261029
1986-08-01 00:00:00.000000,293453
1986-09-01 00:00:00.000000,269020
1986-10-01 00:00:00.000000,284245
1986-11-01 00:00:00.000000,311957
1986-12-01 00:00:00.000000,329784
1987-01-01 00:00:00.000000,342580
1987-02-01 00:00:00.000000,291224
1987-03-01 00:00:00.000000,300727
1987-04-01 00:00:00.000000,289019
1987-05-01 00:00:00.000000,289747
1987-06-01 00:00:00.000000,263865
1987-07-01 00:00:00.000000,321524
1987-08-01 00:00:00.000000,330871
1987-09-01 00:00:00.000000,322749
1987-10-01 00:00:00.000000,359926
1987-11-01 00:00:00.000000,347919
1987-12-01 00:00:00.000000,369690
1988-01-01 00:00:00.000000,395176
1988-02-01 00:00:00.000000,333559
1988-03-01 00:00:00.000000,357105
1988-04-01 00:00:00.000000,337861
1988-05-01 00:00:00.000000,325303
1988-06-01 00:00:00.000000,319224
1988-07-01 00:00:00.000000,386488
1988-08-01 00:00:00.000000,383238
1988-09-01 00:00:00.000000,385961
1988-10-01 00:00:00.000000,404188
1988-11-01 00:00:00.000000,379317
1988-12-01 00:00:00.000000,408612
1989-01-01 00:00:00.000000,423629
1989-02-01 00:00:00.000000,346893
1989-03-01 00:00:00.000000,377671
1989-04-01 00:00:00.000000,346213
1989-05-01 00:00:00.000000,318467
1989-06-01 00:00:00.000000,331806
1989-07-01 00:00:00.000000,356570
1989-08-01 00:00:00.000000,340826
1989-09-01 00:00:00.000000,373054
1989-10-01 00:00:00.000000,391159
1989-11-01 00:00:00.000000,375917
1989-12-01 00:00:00.000000,436733
1990-01-01 00:00:00.000000,451569
1990-02-01 00:00:00.000000,370348
1990-03-01 00:00:00.000000,383560
1990-04-01 00:00:00.000000,398049
1990-05-01 00:00:00.000000,360553
1990-06-01 00:00:00.000000,371754
1990-07-01 00:00:00.000000,419460
1990-08-01 00:00:00.000000,408930
1990-09-01 00:00:00.000000,414413
1990-10-01 00:00:00.000000,419518
1990-11-01 00:00:00.000000,390600
1990-12-01 00:00:00.000000,442978
1991-01-01 00:00:00.000000,445632
1991-02-01 00:00:00.000000,346678
1991-03-01 00:00:00.000000,379177
1991-04-01 00:00:00.000000,350690
1991-05-01 00:00:00.000000,344965
1991-06-01 00:00:00.000000,363497
1991-07-01 00:00:00.000000,423579
1991-08-01 00:00:00.000000,417690
1991-09-01 00:00:00.000000,423320
1991-10-01 00:00:00.000000,442589
1991-11-01 00:00:00.000000,423727
1991-12-01 00:00:00.000000,452819
1992-01-01 00:00:00.000000,471367
1992-02-01 00:00:00.000000,407649
1992-03-01 00:00:00.000000,409046
1992-04-01 00:00:00.000000,434055
1992-05-01 00:00:00.000000,394156
1992-06-01 00:00:00.000000,375368
1992-07-01 00:00:00.000000,468016
1992-08-01 00:00:00.000000,419165
1992-09-01 00:00:00.000000,429514
1992-10-01 00:00:00.000000,459330
1992-11-01 00:00:00.000000,448772
1992-12-01 00:00:00.000000,498520
1993-01-01 00:00:00.000000,520715
1993-02-01 00:00:00.000000,438909
1993-03-01 00:00:00.000000,452882
1993-04-01 00:00:00.000000,459670
1993-05-01 00:00:00.000000,429997
1993-06-01 00:00:00.000000,418491
1993-07-01 00:00:00.000000,479896
1993-08-01 00:00:00.000000,468591
1993-09-01 00:00:00.000000,475271
1993-10-01 00:00:00.000000,513062
1993-11-01 00:00:00.000000,486323
1993-12-01 00:00:00.000000,536029
1994-01-01 00:00:00.000000,552127
1994-02-01 00:00:00.000000,501159
1994-03-01 00:00:00.000000,537381
1994-04-01 00:00:00.000000,504734
1994-05-01 00:00:00.000000,457075
1994-06-01 00:00:00.000000,481043
1994-07-01 00:00:00.000000,557115
1994-08-01 00:00:00.000000,535394
1994-09-01 00:00:00.000000,542699
1994-10-01 00:00:00.000000,574099
1994-11-01 00:00:00.000000,539031
1994-12-01 00:00:00.000000,600353
1995-01-01 00:00:00.000000,614036
1995-02-01 00:00:00.000000,540460
1995-03-01 00:00:00.000000,552209
1995-04-01 00:00:00.000000,562279
1995-05-01 00:00:00.000000,503384
1995-06-01 00:00:00.000000,513238
1995-07-01 00:00:00.000000,620369
1995-08-01 00:00:00.000000,594738
1995-09-01 00:00:00.000000,589605
1995-10-01 00:00:00.000000,612096
1995-11-01 00:00:00.000000,593964
1995-12-01 00:00:00.000000,665119
1996-01-01 00:00:00.000000,682520
1996-02-01 00:00:00.000000,615947
1996-03-01 00:00:00.000000,655673
1996-04-01 00:00:00.000000,639474
1996-05-01 00:00:00.000000,564925
1996-06-01 00:00:00.000000,608295
1996-07-01 00:00:00.000000,663336
1996-08-01 00:00:00.000000,655498
1996-09-01 00:00:00.000000,650765
1996-10-01 00:00:00.000000,698739
1996-11-01 00:00:00.000000,688566
1996-12-01 00:00:00.000000,753565
1997-01-01 00:00:00.000000,767026
1997-02-01 00:00:00.000000,683516
1997-03-01 00:00:00.000000,736637
1997-04-01 00:00:00.000000,670519
1997-05-01 00:00:00.000000,640128
1997-06-01 00:00:00.000000,655719
1997-07-01 00:00:00.000000,749452
1997-08-01 00:00:00.000000,706838
1997-09-01 00:00:00.000000,686538
1997-10-01 00:00:00.000000,746831
1997-11-01 00:00:00.000000,722232
1997-12-01 00:00:00.000000,755498
1998-01-01 00:00:00.000000,773289
1998-02-01 00:00:00.000000,674491
1998-03-01 00:00:00.000000,694857
1998-04-01 00:00:00.000000,733977
1998-05-01 00:00:00.000000,670403
1998-06-01 00:00:00.000000,652208
1998-07-01 00:00:00.000000,750248
1998-08-01 00:00:00.000000,727905
1998-09-01 00:00:00.000000,716251
1998-10-01 00:00:00.000000,769129
1998-11-01 00:00:00.000000,727634
1998-12-01 00:00:00.000000,786474
1999-01-01 00:00:00.000000,817095
1999-02-01 00:00:00.000000,716123
1999-03-01 00:00:00.000000,767101
1999-04-01 00:00:00.000000,740705
1999-05-01 00:00:00.000000,680010
1999-06-01 00:00:00.000000,681500
1999-07-01 00:00:00.000000,795200
1999-08-01 00:00:00.000000,778835
1999-09-01 00:00:00.000000,782324
1999-10-01 00:00:00.000000,820750
1999-11-01 00:00:00.000000,786574
1999-12-01 00:00:00.000000,815707
2000-01-01 00:00:00.000000,854393
2000-02-01 00:00:00.000000,792676
2000-03-01 00:00:00.000000,814831
2000-04-01 00:00:00.000000,855418
2000-05-01 00:00:00.000000,762678
2000-06-01 00:00:00.000000,755816
2000-07-01 00:00:00.000000,881148
2000-08-01 00:00:00.000000,832996
2000-09-01 00:00:00.000000,895105
2000-10-01 00:00:00.000000,934105
2000-11-01 00:00:00.000000,906951
2000-12-01 00:00:00.000000,996188
2001-01-01 00:00:00.000000,1012265
2001-02-01 00:00:00.000000,836174
2001-03-01 00:00:00.000000,893960
2001-04-01 00:00:00.000000,891808
