,Date,Total,Pos,Ratio
0,1985-01-01,91738.8690935479,183477.738187096,0.0919069186
1,1985-02-01,-27615.1504721487,64123.7186213992,0.0765160664
2,1985-03-01,3586.7877994562,95325.6568930041,0.0802604291
3,1985-04-01,-12386.0640523957,79352.8050411522,0.0806779396
4,1985-05-01,-75855.7831881981,15883.0859053498,0.0732115698
5,1985-06-01,-64646.985348692,27091.8837448559,0.0797888058
6,1985-07-01,34723.4122483098,126462.281341858,0.0862181199
7,1985-08-01,-7766.080311214,83972.7887823339,0.0821171844
8,1985-09-01,-6160.9359659759,85577.933127572,0.0853954953
9,1985-10-01,30451.8765340241,122190.745627572,0.0861890787
10,1985-11-01,-1017.4835850235,90721.3855085244,0.0837038638
11,1985-12-01,34947.5372483098,126686.406341858,0.0940145285
