Indicator_Name,Adjusted net national income per capita (annual % growth),Age dependency ratio (% of working-age population),"Air transport, passengers carried",Consumer price index (2010 = 100),"Employment to population ratio, 15+, total (%) (national estimate)",Fuel exports (% of merchandise exports),Fuel imports (% of merchandise imports),GDP (current US$),GDP per capita (current US$),Imports of goods and services (% of GDP),"Inflation, consumer prices (annual %)",Population ages 15-64 (% of total),"Population ages 15-64, total",Population growth (annual %),"Population, total",Urban population (% of total)
1981,3.143402414,52.76919366,13219500,30.02081165,57.59999847,16.00640297,13.59295875,176599000000,11830.86532,16.74435423,9.487666034,65.45822642,9770949,1.586852569,14927000,85.7
1982,0.508061839,52.26948549,13187900,33.42872008,56.42750168,18.21982862,14.43454212,193722000000,12763.32361,16.83374153,11.35181976,65.67304243,9967854,1.667535733,15178000,85.67
1983,-0.861468192,51.96746399,12601500,36.78459938,54.41659927,23.15693871,10.82845008,176986000000,11515.80647,15.62741262,10.03891051,65.8035618,10113349,1.250548264,15369000,85.641
1984,3.270454391,51.63397214,13236800,38.24141519,55.1086998,24.35702705,9.012942585,193194000000,12428.85793,15.00902379,3.96039604,65.94828482,10251001,1.132221845,15544000,85.611
1985,0.427975352,51.18639303,14412100,40.81685744,55.78419876,26.91108933,6.756610434,180191000000,11434.88989,17.3096652,6.734693878,66.14351642,10422895,1.367346075,15758000,85.582
1986,1.215481981,51.01278231,15497300,44.51092612,56.88650131,22.82888029,4.622227341,181977000000,11360.52766,18.08614095,9.050350542,66.21955711,10607314,1.638988867,16018400,85.552
1987,0.16941101,50.60310135,16880200,48.30905307,56.93560028,20.93769507,4.868463652,189041000000,11623.35967,17.09401111,8.533021625,66.39969339,10799180,1.520986626,16263900,85.522
1988,5.832532819,50.10702668,18816300,51.7950052,57.87200165,17.33031712,4.021250189,235700000000,14257.02216,16.64474943,7.215939688,66.61913558,11013609,1.636206657,16532200,85.493
1989,2.98411233,49.74278321,15114300,55.69719043,59.25960159,17.39474729,5.136125332,299318000000,17801.26827,16.9791508,7.533902562,66.78117951,11228855,1.69256678,16814400,85.463
1990,-0.112069572,49.59203644,17553400,59.78147763,59.33169937,21.45436229,5.695177998,310838000000,18214.83698,17.07036298,7.333021952,66.84847652,11407759,1.479978016,17065100,85.433
1991,-1.547559749,49.5775887,21860100,61.6805411,57.08980179,23.16558078,6.042267125,325358000000,18824.2474,16.19172141,3.17667537,66.85493421,11555207,1.274577578,17284000,85.403
1992,-0.963032921,49.75981505,23886600,62.30489074,56.11880112,22.99979274,5.980692608,324878000000,18569.76879,16.41893859,1.012231126,66.77358871,11682039,1.213390775,17495000,85.285
1993,3.676336114,50.03059717,26929300,63.3975026,55.66009903,22.17236068,6.240472018,311529000000,17633.38138,17.89461576,1.753653445,66.65307136,11775598,0.978336681,17667000,85.157
1994,3.060820212,50.21516819,26888500,64.64620187,56.81760025,18.72537996,4.882711142,322201000000,18045.43906,18.52141314,1.969634797,66.5711742,11886283,1.058508842,17855000,85.028
1995,2.046949374,50.23842619,28831400,67.63787721,58.16049957,19.05253612,5.113620705,367216000000,20319.63063,19.88466679,4.6277666,66.56086774,12028880,1.208019812,18072000,84.898
1996,3.886731631,50.27667947,30075100,69.40686785,58.1169014,19.06438287,6.338635909,400303000000,21861.32551,19.39313759,2.615384615,66.54392302,12184858,1.313819299,18311000,84.767
1997,3.38643252,50.1791574,30953500,69.56295525,57.84469986,19.69421101,6.127520101,434568000000,23468.59683,18.90000018,0.224887556,66.58713634,12329940,1.11872569,18517000,84.636
1998,3.443694933,49.99978355,30185700,70.16129032,58.16220093,19.65591466,4.680478857,398899000000,21318.96417,20.47485364,0.86013463,66.66676132,12474018,1.042235716,18711000,84.503
1999,2.769202392,49.83377839,31579700,71.20187305,58.45069885,19.42212715,6.021618683,388395000000,20521.77757,20.80216069,1.483129403,66.74062368,12631330,1.142505187,18926000,84.37
2000,2.002217492,49.72620422,32577569,74.37565036,59.17129898,21.8804272,8.420507201,415034000000,21669.41091,21.60415459,4.457435148,66.78857582,12792016,1.192272323,19153000,84.235
2001,1.985846229,49.42595737,33477398,77.65348595,59.03070068,21.66596195,8.921822321,378215000000,19482.5679,22.14891184,4.407135362,66.92277508,12991718,1.348358342,19413000,84.1
2002,3.114697509,49.15838157,39021581,79.96878252,59.32920074,21.65209623,7.559409004,394487000000,20074.22931,20.79122692,2.981574539,67.042829,13174854,1.220563785,19651400,84.222
2003,2.405450158,48.92551224,41386432,82.15400624,59.81620026,20.94319396,8.13670311,466295000000,23437.31215,21.20985027,2.732595966,67.14766107,13359296,1.233996663,19895400,84.343
2004,4.218462612,48.72209567,41596552,84.07908429,60.03609848,21.29230762,9.495476951,611904000000,30401.55479,19.9365275,2.343255225,67.23950543,13533564,1.159352162,20127400,84.463
2005,0.98865267,48.56992314,44657324,86.34235172,61.15710068,26.73189685,11.37456648,692642000000,33961.6818,21.02931344,2.691831683,67.30837635,13727409,1.319789554,20394800,84.582
2006,2.191760755,48.22309739,46951775,89.41207076,61.65940094,25.48688899,13.71145387,745522000000,36019.20305,21.72580818,3.555287737,67.46586865,13964018,1.475227945,20697900,84.7
2007,3.15919926,47.95587437,48728837,91.49323621,62.32350159,24.4223209,13.38850939,851963000000,40905.47089,21.87698418,2.327611289,67.58771707,14076899,0.624678435,20827600,84.822
2008,2.88364285,47.8347414,51488427,95.47346514,62.70849991,34.26717454,16.31228762,1052580000000,49535.25787,22.73909897,4.35029855,67.64310055,14373618,2.00402174,21249200,84.943
2009,3.915505441,47.87923092,50026967,97.16441207,61.7928009,31.98203885,13.26261088,926448000000,42709.8033,22.82647568,1.771117166,67.62274691,14668523,2.06104513,21691700,85.063
2010,-0.608232449,48.06817961,60640913,100,61.98289871,30.82319977,14.03572487,1144260000000,51936.88871,20.87386525,2.918340027,67.53645469,14879463,1.555489589,22031750,85.182
2011,4.1627068,48.63881193,63360310.34,103.3038502,62.09820175,29.88328634,17.43222943,1394280000000,62411.78545,20.50509857,3.303850156,67.27718073,15029738,1.389527316,22340024,85.3
2012,3.299981379,49.19472478,66355274,105.1248699,61.75159836,30.35744296,17.30210085,1543410000000,67864.68986,21.76810529,1.762780156,67.02649728,15243484,1.78544535,22742475,85.402
2013,-0.987709996,49.77093606,68197955,107.7003122,61.26689911,27.32312622,17.8030441,1573700000000,67990.29003,21.28586162,2.449888641,66.76862746,15454200,1.758338077,23145901,85.502
2014,-0.688029522,50.39963747,68123237.67,110.3798127,60.78010178,28.01940925,16.10980078,1464960000000,62327.55594,21.50408328,2.487922705,66.48952394,15627789,1.535878854,23504138,85.602
2015,-0.072012123,51.0854579,69779346,112.0447451,61.07210159,26.86441582,11.05822087,1349030000000,56561.41238,21.53442325,1.508366722,66.18770535,15786287,1.464059816,23850784,85.701
2016,-0.958232065,51.86304832,72446421,113.4755463,61.17369843,27.65392091,9.593062169,1208040000000,49896.6811,21.51844657,1.276990945,65.8488025,15942528,1.498209742,24210809,85.8
1981,3.135376207,51.64670227,281086400,41.6980998,59,4.537515869,31.06806914,3210960000000,13993.16674,9.896087022,10.33471534,65.94274633,151316182,0.981415437,229466000,73.89
1982,-0.004020061,51.30384717,290992608,44.25478835,57.79999924,6.173344604,26.6462297,3344990000000,14438.97628,9.063791203,6.131427,66.09217292,153111771,0.953317566,231664000,74.042
1983,2.556057316,51.07939843,315600096,45.67644476,57.90000153,4.910388126,22.39017878,3638140000000,15561.4264,9.033139764,3.212435233,66.19036166,154747770,0.914378513,233792000,74.194
1984,7.228603412,50.95878626,340191488,47.64077647,59.5,4.419734503,18.65053504,4040690000000,17134.28602,10.02568124,4.300535475,66.24324573,156218134,0.865817336,235825000,74.344
1985,3.273836141,50.92444457,372059104,49.32994887,60.09999847,4.854182307,15.52299558,4346730000000,18269.42217,9.59865499,3.545644152,66.25831914,157644443,0.886129041,237924000,74.494
1986,2.660457016,51.15987458,414554496,50.26625484,60.70000076,3.973920205,10.42779967,4590160000000,19115.05291,9.866050275,1.898047722,66.1551224,158860280,0.924164157,240133000,74.644
1987,2.704250308,51.42307277,441832704,52.10829353,61.5,3.171267488,11.06582476,4870220000000,20100.85889,10.44540726,3.664563218,66.04013391,160007980,0.893829201,242289000,74.793
1988,4.802133407,51.70315283,454202912,54.23313484,62.29999924,2.689404353,9.609188328,5252630000000,21483.23306,10.5469661,4.077741107,65.91820802,161169359,0.90799904,244499000,74.942
1989,1.372584671,51.97812723,453161504,56.8509699,63,2.777211578,11.36314,5657690000000,22922.43709,10.44651946,4.82700303,65.79894206,162404291,0.944405555,246819000,75.089
1990,0.179607465,52.22616318,464574016,59.91976049,62.79999924,3.22313581,13.2568296,5979590000000,23954.47935,10.53130909,5.39795644,65.69173003,163981667,1.12965052,249623000,75.3
1991,-0.976102934,52.61795619,452015904,62.45734075,61.70000076,3.018627809,11.46689704,6174040000000,24405.16481,10.09949234,4.234963965,65.52308956,165760967,1.336260741,252981000,75.701
1992,2.131206463,52.9276116,466964992,64.34906098,61.5,2.601878398,10.62035888,6539300000000,25492.95165,10.21199673,3.028819678,65.39041517,167735570,1.386885692,256514000,76.097
1993,0.966173234,53.12635172,469926112,66.24842452,61.70000076,2.225677298,9.847557064,6878720000000,26464.85251,10.46668871,2.951656966,65.30554593,169741522,1.31868,259919000,76.488
1994,3.251251392,53.17999619,514924000,67.9758135,62.57910156,1.820501541,8.7333765,7308760000000,27776.63553,11.12946049,2.607441592,65.28267552,171775693,1.226296089,263126000,76.875
1995,2.149739481,53.08151561,533512096,69.88282035,62.9477005,1.852162806,8.189796879,7664060000000,28782.17502,11.77666928,2.805419689,65.32467322,173945233,1.190787091,266278000,77.257
