Date,ARIMA,HOLTZ,Econometric,Ensemble,Actual
2012-01-01,1330296.06470941,1322546.29133593,1292852.005811,1315231.45395211,1319684
2012-02-01,1104138.48514988,1132352.93718041,1076349.32634993,1104280.24956007,1098688
2012-03-01,1121751.51500554,1186659.92835606,1129021.16978587,1145810.87104916,1152453
2012-04-01,1176189.52865544,1164220.14453511,1134894.27809583,1158434.65042879,1158448
2012-05-01,1063707.49537044,1059951.43773186,1029865.06681231,1051174.6666382,1051239
2012-06-01,1077524.88539415,1081154.47021258,1122386.85825982,1093688.73795552,1145681
2012-07-01,1251912.46555013,1258764.35039694,1212827.83655385,1241168.21750031,1237999
2012-08-01,1157818.97331014,1177553.74355297,1155140.09369793,1163504.27018701,1179114
2012-09-01,1220349.73632353,1182318.26660262,1201255.9997396,1201308.00088858,1226187
2012-10-01,1255525.46674048,1251725.59674999,1212419.31482074,1239890.12610374,1237582
2012-11-01,1176174.53353648,1197326.91278382,1177459.86761829,1183653.77131286,1201897
2012-12-01,1323407.39289792,1245638.93005665,1322499.69423521,1297182.00572993,1349947
